Name, NSSDC,LaunchLoc,LaunchCountry,LaunchDate,URL
TIROS  1,1960-002B,Cape Canaveral, United States,4/1/60,/nmc/spacecraftDisplay.do?id=1960-002B
Transit 1B,1960-003B,Cape Canaveral, United States,4/13/60,/nmc/spacecraftDisplay.do?id=1960-003B
Discoverer 11,1960-004A,Vandenberg AFB, United States,4/15/60,/nmc/spacecraftDisplay.do?id=1960-004A
Echo-X,ECHOX,Cape Canaveral, United States,5/13/60,/nmc/spacecraftDisplay.do?id=ECHOX
Sputnik  4,1960-005A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,5/15/60,/nmc/spacecraftDisplay.do?id=1960-005A
MIDAS  2,1960-006A,Cape Canaveral, United States,5/24/60,/nmc/spacecraftDisplay.do?id=1960-006A
SOLRAD  1,1960-007B,Cape Canaveral, United States,6/22/60,/nmc/spacecraftDisplay.do?id=1960-007B
Transit 2A,1960-007A,Cape Canaveral, United States,6/22/60,/nmc/spacecraftDisplay.do?id=1960-007A
Discoverer 12,DISC12,Vandenberg AFB, United States,6/29/60,/nmc/spacecraftDisplay.do?id=DISC12
Mercury Atlas 1,MERCA1,Cape Canaveral, United States,7/29/60,/nmc/spacecraftDisplay.do?id=MERCA1
Discoverer 13,1960-008A,Vandenberg AFB, United States,8/10/60,/nmc/spacecraftDisplay.do?id=1960-008A
Echo 1,1960-009A,Cape Canaveral, United States,8/12/60,/nmc/spacecraftDisplay.do?id=1960-009A
Courier 1A,COUR1A,Cape Canaveral, United States,8/18/60,/nmc/spacecraftDisplay.do?id=COUR1A
Discoverer 14,1960-010A,Vandenberg AFB, United States,8/18/60,/nmc/spacecraftDisplay.do?id=1960-010A
Sputnik  5,1960-011A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/19/60,/nmc/spacecraftDisplay.do?id=1960-011A
Discoverer 15,1960-012A,Vandenberg AFB, United States,9/13/60,/nmc/spacecraftDisplay.do?id=1960-012A
Pioneer P-30,PIONY,Cape Canaveral, United States,9/25/60,/nmc/spacecraftDisplay.do?id=PIONY
Courier 1B,1960-013A,Cape Canaveral, United States,10/4/60,/nmc/spacecraftDisplay.do?id=1960-013A
Marsnik 1,MARSNK1,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/10/60,/nmc/spacecraftDisplay.do?id=MARSNK1
SAMOS  1,SAMOS1,Point Arguello, United States,10/11/60,/nmc/spacecraftDisplay.do?id=SAMOS1
Marsnik 2,MARSNK2,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/14/60,/nmc/spacecraftDisplay.do?id=MARSNK2
Discoverer 16,DISC16,Vandenberg AFB, United States,10/26/60,/nmc/spacecraftDisplay.do?id=DISC16
Explorer  8,1960-014A,Cape Canaveral, United States,11/3/60,/nmc/spacecraftDisplay.do?id=1960-014A
Discoverer 17,1960-015A,Vandenberg AFB, United States,11/12/60,/nmc/spacecraftDisplay.do?id=1960-015A
Mercury Redstone 1,MERCR1,Cape Canaveral, United States,11/21/60,/nmc/spacecraftDisplay.do?id=MERCR1
TIROS  2,1960-016A,Cape Canaveral, United States,11/23/60,/nmc/spacecraftDisplay.do?id=1960-016A
SOLRAD  2,SRAD2,Cape Canaveral, United States,11/30/60,/nmc/spacecraftDisplay.do?id=SRAD2
SOLRAD 2,SRD-2,Cape Canaveral, United States,11/30/60,/nmc/spacecraftDisplay.do?id=SRD-2
Transit 3A,TRAN3,Cape Canaveral, United States,11/30/60,/nmc/spacecraftDisplay.do?id=TRAN3
1960 Rho,NNN6001,Tyuratam (Baikonur Cosmodrome), U.S.S.R,12/1/60,/nmc/spacecraftDisplay.do?id=NNN6001
Sputnik  6,1960-017A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,12/1/60,/nmc/spacecraftDisplay.do?id=1960-017A
S 56,EXS-56,Wallops Island, United States,12/4/60,/nmc/spacecraftDisplay.do?id=EXS-56
Discoverer 18,1960-018A,Vandenberg AFB, United States,12/7/60,/nmc/spacecraftDisplay.do?id=1960-018A
Pioneer P-31,PIONZ,Cape Canaveral, United States,12/15/60,/nmc/spacecraftDisplay.do?id=PIONZ
