Name, NSSDC,LaunchLoc,LaunchCountry,LaunchDate,URL
Soyuz  5,1969-005A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,1/15/69,/nmc/spacecraftDisplay.do?id=1969-005A
KH 8-19,1969-007A,Vandenberg AFB, United States,1/22/69,/nmc/spacecraftDisplay.do?id=1969-007A
OSO 5,1969-006A,Cape Canaveral, United States,1/22/69,/nmc/spacecraftDisplay.do?id=1969-006A
Cosmos  264,1969-008A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,1/23/69,/nmc/spacecraftDisplay.do?id=1969-008A
ISIS 1,1969-009A,Vandenberg AFB, United States,1/30/69,/nmc/spacecraftDisplay.do?id=1969-009A
KH-4B 1106,1969-010A,Vandenberg AFB, United States,2/5/69,/nmc/spacecraftDisplay.do?id=1969-010A
KH-4B 1106 Subsatellite,1969-010B,Vandenberg AFB, United States,2/5/69,/nmc/spacecraftDisplay.do?id=1969-010B
INTELSAT 3 F-3,1969-011A,Cape Canaveral, United States,2/6/69,/nmc/spacecraftDisplay.do?id=1969-011A
Cosmos  265,1969-012A,Plesetsk, U.S.S.R,2/7/69,/nmc/spacecraftDisplay.do?id=1969-012A
1969-013B,1969-013B,Cape Canaveral, United States,2/9/69,/nmc/spacecraftDisplay.do?id=1969-013B
TacSat 1,1969-013A,Cape Canaveral, United States,2/9/69,/nmc/spacecraftDisplay.do?id=1969-013A
Cosmos  266,1969-015A,Plesetsk, U.S.S.R,2/25/69,/nmc/spacecraftDisplay.do?id=1969-015A
Mariner  6,1969-014A,Cape Canaveral, United States,2/25/69,/nmc/spacecraftDisplay.do?id=1969-014A
Cosmos  267,1969-017A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,2/26/69,/nmc/spacecraftDisplay.do?id=1969-017A
ESSA 9,1969-016A,Cape Canaveral, United States,2/26/69,/nmc/spacecraftDisplay.do?id=1969-016A
Apollo  9,1969-018A,Cape Canaveral, United States,3/3/69,/nmc/spacecraftDisplay.do?id=1969-018A
Apollo 9 SIVB,1969-018B,Cape Canaveral, United States,3/3/69,/nmc/spacecraftDisplay.do?id=1969-018B
KH 8-20,1969-019A,Vandenberg AFB, United States,3/4/69,/nmc/spacecraftDisplay.do?id=1969-019A
Cosmos  268,1969-020A,Kapustin Yar, U.S.S.R,3/5/69,/nmc/spacecraftDisplay.do?id=1969-020A
Cosmos  269,1969-021A,Plesetsk, U.S.S.R,3/5/69,/nmc/spacecraftDisplay.do?id=1969-021A
Cosmos  270,1969-022A,Plesetsk, U.S.S.R,3/6/69,/nmc/spacecraftDisplay.do?id=1969-022A
Cosmos  271,1969-023A,Plesetsk, U.S.S.R,3/15/69,/nmc/spacecraftDisplay.do?id=1969-023A
Cosmos  272,1969-024A,Plesetsk, U.S.S.R,3/17/69,/nmc/spacecraftDisplay.do?id=1969-024A
1969-025E,1969-025E,Vandenberg AFB, United States,3/18/69,/nmc/spacecraftDisplay.do?id=1969-025E
1969-025F,1969-025F,Vandenberg AFB, United States,3/18/69,/nmc/spacecraftDisplay.do?id=1969-025F
OV1-17,1969-025A,Vandenberg AFB, United States,3/18/69,/nmc/spacecraftDisplay.do?id=1969-025A
OV1-17A,1969-025D,Vandenberg AFB, United States,3/18/69,/nmc/spacecraftDisplay.do?id=1969-025D
OV1-18,1969-025B,Vandenberg AFB, United States,3/18/69,/nmc/spacecraftDisplay.do?id=1969-025B
OV1-19,1969-025C,Vandenberg AFB, United States,3/18/69,/nmc/spacecraftDisplay.do?id=1969-025C
KH-4A 1050,1969-026A,Vandenberg AFB, United States,3/19/69,/nmc/spacecraftDisplay.do?id=1969-026A
KH-4A 1050 Subsatellite,1969-026B,Vandenberg AFB, United States,3/19/69,/nmc/spacecraftDisplay.do?id=1969-026B
Cosmos  273,1969-027A,Plesetsk, U.S.S.R,3/22/69,/nmc/spacecraftDisplay.do?id=1969-027A
Cosmos  274,1969-028A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,3/24/69,/nmc/spacecraftDisplay.do?id=1969-028A
Meteor 1-1,1969-029A,Plesetsk, U.S.S.R,3/26/69,/nmc/spacecraftDisplay.do?id=1969-029A
Mariner  7,1969-030A,Cape Canaveral, United States,3/27/69,/nmc/spacecraftDisplay.do?id=1969-030A
Mars 1969A,MARS69A,Tyuratam (Baikonur Cosmodrome), Kazakhstan,3/27/69,/nmc/spacecraftDisplay.do?id=MARS69A
Cosmos  275,1969-031A,Plesetsk, U.S.S.R,3/28/69,/nmc/spacecraftDisplay.do?id=1969-031A
Mars 1969B,MARS69B,Tyuratam (Baikonur Cosmodrome), Kazakhstan,4/2/69,/nmc/spacecraftDisplay.do?id=MARS69B
Cosmos  276,1969-032A,Plesetsk, U.S.S.R,4/4/69,/nmc/spacecraftDisplay.do?id=1969-032A
Cosmos  277,1969-033A,Plesetsk, U.S.S.R,4/4/69,/nmc/spacecraftDisplay.do?id=1969-033A
Cosmos  278,1969-034A,Plesetsk, U.S.S.R,4/9/69,/nmc/spacecraftDisplay.do?id=1969-034A
Molniya 1-11,1969-035A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,4/11/69,/nmc/spacecraftDisplay.do?id=1969-035A
Canyon 2,1969-036A,Cape Canaveral, United States,4/13/69,/nmc/spacecraftDisplay.do?id=1969-036A
Nimbus 3,1969-037A,Vandenberg AFB, United States,4/14/69,/nmc/spacecraftDisplay.do?id=1969-037A
SECOR 13,1969-037B,Vandenberg AFB, United States,4/14/69,/nmc/spacecraftDisplay.do?id=1969-037B
Cosmos  279,1969-038A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,4/15/69,/nmc/spacecraftDisplay.do?id=1969-038A
KH 8-21,1969-039A,Vandenberg AFB, United States,4/15/69,/nmc/spacecraftDisplay.do?id=1969-039A
Cosmos  280,1969-040A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,4/23/69,/nmc/spacecraftDisplay.do?id=1969-040A
KH-4A 1051,1969-041A,Vandenberg AFB, United States,5/2/69,/nmc/spacecraftDisplay.do?id=1969-041A
KH-4A 1051 Subsatellite,1969-041B,Vandenberg AFB, United States,5/2/69,/nmc/spacecraftDisplay.do?id=1969-041B
Cosmos  281,1969-042A,Plesetsk, U.S.S.R,5/13/69,/nmc/spacecraftDisplay.do?id=1969-042A
Apollo 10,1969-043A,Cape Canaveral, United States,5/18/69,/nmc/spacecraftDisplay.do?id=1969-043A
Apollo 10 SIVB,1969-043B,Cape Canaveral, United States,5/18/69,/nmc/spacecraftDisplay.do?id=1969-043B
Cosmos  282,1969-044A,Plesetsk, U.S.S.R,5/20/69,/nmc/spacecraftDisplay.do?id=1969-044A
INTELSAT 3 F-4,1969-045A,Cape Canaveral, United States,5/22/69,/nmc/spacecraftDisplay.do?id=1969-045A
OV5-5,1969-046A,Vandenberg AFB, United States,5/23/69,/nmc/spacecraftDisplay.do?id=1969-046A
OV5-6,1969-046B,Vandenberg AFB, United States,5/23/69,/nmc/spacecraftDisplay.do?id=1969-046B
OV5-9,1969-046C,Vandenberg AFB, United States,5/23/69,/nmc/spacecraftDisplay.do?id=1969-046C
Vela  5A,1969-046D,Vandenberg AFB, United States,5/23/69,/nmc/spacecraftDisplay.do?id=1969-046D
Vela  5B,1969-046E,Vandenberg AFB, United States,5/23/69,/nmc/spacecraftDisplay.do?id=1969-046E
Cosmos  283,1969-047A,Plesetsk, U.S.S.R,5/27/69,/nmc/spacecraftDisplay.do?id=1969-047A
Cosmos  284,1969-048A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,5/29/69,/nmc/spacecraftDisplay.do?id=1969-048A
Cosmos  285,1969-049A,Plesetsk, U.S.S.R,6/3/69,/nmc/spacecraftDisplay.do?id=1969-049A
KH 8-22,1969-050A,Vandenberg AFB, United States,6/3/69,/nmc/spacecraftDisplay.do?id=1969-050A
OGO 6,1969-051A,Vandenberg AFB, United States,6/5/69,/nmc/spacecraftDisplay.do?id=1969-051A
Cosmos  286,1969-052A,Plesetsk, U.S.S.R,6/15/69,/nmc/spacecraftDisplay.do?id=1969-052A
IMP-G,1969-053A,Vandenberg AFB, United States,6/21/69,/nmc/spacecraftDisplay.do?id=1969-053A
Cosmos  287,1969-054A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,6/24/69,/nmc/spacecraftDisplay.do?id=1969-054A
Cosmos  288,1969-055A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,6/27/69,/nmc/spacecraftDisplay.do?id=1969-055A
Biosatellite 3,1969-056A,Cape Canaveral, United States,6/29/69,/nmc/spacecraftDisplay.do?id=1969-056A
Cosmos  289,1969-057A,Plesetsk, U.S.S.R,7/10/69,/nmc/spacecraftDisplay.do?id=1969-057A
Luna 15,1969-058A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,7/13/69,/nmc/spacecraftDisplay.do?id=1969-058A
Apollo 11 Command and Service Module (CSM),1969-059A,Cape Canaveral, United States,7/16/69,/nmc/spacecraftDisplay.do?id=1969-059A
Apollo 11 Lunar Module / EASEP,1969-059C,Cape Canaveral, United States,7/16/69,/nmc/spacecraftDisplay.do?id=1969-059C
Apollo 11 SIVB,1969-059B,Cape Canaveral, United States,7/16/69,/nmc/spacecraftDisplay.do?id=1969-059B
Cosmos  290,1969-060A,Plesetsk, U.S.S.R,7/22/69,/nmc/spacecraftDisplay.do?id=1969-060A
DMSP 4B/F3,1969-062A,Vandenberg AFB, United States,7/22/69,/nmc/spacecraftDisplay.do?id=1969-062A
Molniya 1-12,1969-061A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,7/22/69,/nmc/spacecraftDisplay.do?id=1969-061A
1969-062B,1969-062B,Vandenberg AFB, United States,7/23/69,/nmc/spacecraftDisplay.do?id=1969-062B
KH-4B 1107,1969-063A,Vandenberg AFB, United States,7/24/69,/nmc/spacecraftDisplay.do?id=1969-063A
INTELSAT 3 F-5,1969-064A,Cape Canaveral, United States,7/26/69,/nmc/spacecraftDisplay.do?id=1969-064A
Ferret 13,1969-065A,Vandenberg AFB, United States,7/31/69,/nmc/spacecraftDisplay.do?id=1969-065A
Cosmos  291,1969-066A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/6/69,/nmc/spacecraftDisplay.do?id=1969-066A
Zond 7,1969-067A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/7/69,/nmc/spacecraftDisplay.do?id=1969-067A
OSO 6,1969-068A,Cape Canaveral, United States,8/9/69,/nmc/spacecraftDisplay.do?id=1969-068A
PAC-A,1969-068B,Cape Canaveral, United States,8/9/69,/nmc/spacecraftDisplay.do?id=1969-068B
ATS 5,1969-069A,Cape Canaveral, United States,8/12/69,/nmc/spacecraftDisplay.do?id=1969-069A
Cosmos  292,1969-070A,Plesetsk, U.S.S.R,8/14/69,/nmc/spacecraftDisplay.do?id=1969-070A
Cosmos  293,1969-071A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/16/69,/nmc/spacecraftDisplay.do?id=1969-071A
Cosmos  294,1969-072A,Plesetsk, U.S.S.R,8/19/69,/nmc/spacecraftDisplay.do?id=1969-072A
Cosmos  295,1969-073A,Plesetsk, U.S.S.R,8/22/69,/nmc/spacecraftDisplay.do?id=1969-073A
KH 8-23,1969-074A,Vandenberg AFB, United States,8/23/69,/nmc/spacecraftDisplay.do?id=1969-074A
Pioneer-E,PIONE,Cape Canaveral, United States,8/27/69,/nmc/spacecraftDisplay.do?id=PIONE
TETR-C,TETR-C,Cape Canaveral, United States,8/27/69,/nmc/spacecraftDisplay.do?id=TETR-C
Cosmos  296,1969-075A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/29/69,/nmc/spacecraftDisplay.do?id=1969-075A
Cosmos  297,1969-076A,Plesetsk, U.S.S.R,9/2/69,/nmc/spacecraftDisplay.do?id=1969-076A
Cosmos  298,1969-077A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,9/15/69,/nmc/spacecraftDisplay.do?id=1969-077A
Cosmos  299,1969-078A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,9/18/69,/nmc/spacecraftDisplay.do?id=1969-078A
KH-4A 1052,1969-079A,Vandenberg AFB, United States,9/22/69,/nmc/spacecraftDisplay.do?id=1969-079A
KH-4A 1052 Subsatellite,1969-079B,Vandenberg AFB, United States,9/22/69,/nmc/spacecraftDisplay.do?id=1969-079B
Lambda 4S-4,LAM4S4,Uchinoura Space Center, Japan,9/22/69,/nmc/spacecraftDisplay.do?id=LAM4S4
Cosmos  300,1969-080A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,9/23/69,/nmc/spacecraftDisplay.do?id=1969-080A
Cosmos  301,1969-081A,Plesetsk, U.S.S.R,9/24/69,/nmc/spacecraftDisplay.do?id=1969-081A
1969-082A,1969-082A,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082A
1969-082C,1969-082C,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082C
1969-082D,1969-082D,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082D
1969-082E,1969-082E,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082E
1969-082F,1969-082F,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082F
1969-082G,1969-082G,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082G
1969-082I,1969-082I,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082I
SOICAL (Cone),1969-082K,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082K
SOICAL (Cylinder),1969-082J,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082J
TEMPSAT 2,1969-082H,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082H
Timation 2,1969-082B,Vandenberg AFB, United States,9/30/69,/nmc/spacecraftDisplay.do?id=1969-082B
Boreas,1969-083A,Vandenberg AFB, United States,10/1/69,/nmc/spacecraftDisplay.do?id=1969-083A
Meteor 1-2,1969-084A,Plesetsk, U.S.S.R,10/6/69,/nmc/spacecraftDisplay.do?id=1969-084A
Soyuz  6,1969-085A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/11/69,/nmc/spacecraftDisplay.do?id=1969-085A
Soyuz  7,1969-086A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/12/69,/nmc/spacecraftDisplay.do?id=1969-086A
Soyuz  8,1969-087A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/13/69,/nmc/spacecraftDisplay.do?id=1969-087A
Intercosmos  1,1969-088A,Kapustin Yar, U.S.S.R,10/14/69,/nmc/spacecraftDisplay.do?id=1969-088A
Cosmos  302,1969-089A,Plesetsk, U.S.S.R,10/17/69,/nmc/spacecraftDisplay.do?id=1969-089A
Cosmos  303,1969-090A,Plesetsk, U.S.S.R,10/18/69,/nmc/spacecraftDisplay.do?id=1969-090A
Cosmos  304,1969-091A,Plesetsk, U.S.S.R,10/21/69,/nmc/spacecraftDisplay.do?id=1969-091A
Cosmos  305,1969-092A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/22/69,/nmc/spacecraftDisplay.do?id=1969-092A
Cosmos  306,1969-093A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,10/24/69,/nmc/spacecraftDisplay.do?id=1969-093A
Cosmos  307,1969-094A,Kapustin Yar, U.S.S.R,10/24/69,/nmc/spacecraftDisplay.do?id=1969-094A
KH 8-24,1969-095A,Vandenberg AFB, United States,10/24/69,/nmc/spacecraftDisplay.do?id=1969-095A
Cosmos  308,1969-096A,Plesetsk, U.S.S.R,11/4/69,/nmc/spacecraftDisplay.do?id=1969-096A
Azur,1969-097A,Vandenberg AFB, United States,11/8/69,/nmc/spacecraftDisplay.do?id=1969-097A
Cosmos  309,1969-098A,Plesetsk, U.S.S.R,11/12/69,/nmc/spacecraftDisplay.do?id=1969-098A
Apollo 12 Command and Service Module (CSM),1969-099A,Cape Canaveral, United States,11/14/69,/nmc/spacecraftDisplay.do?id=1969-099A
Apollo 12 Lunar Module / ALSEP,1969-099C,Cape Canaveral, United States,11/14/69,/nmc/spacecraftDisplay.do?id=1969-099C
Apollo 12 SIVB,1969-099B,Cape Canaveral, United States,11/14/69,/nmc/spacecraftDisplay.do?id=1969-099B
Cosmos  310,1969-100A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,11/15/69,/nmc/spacecraftDisplay.do?id=1969-100A
Skynet 1,1969-101A,Cape Canaveral, United States,11/22/69,/nmc/spacecraftDisplay.do?id=1969-101A
1969-103B,1969-103B,Plesetsk, U.S.S.R,11/24/69,/nmc/spacecraftDisplay.do?id=1969-103B
Cosmos  311,1969-102A,Plesetsk, U.S.S.R,11/24/69,/nmc/spacecraftDisplay.do?id=1969-102A
Cosmos  312,1969-103A,Plesetsk, U.S.S.R,11/24/69,/nmc/spacecraftDisplay.do?id=1969-103A
Cosmos  313,1969-104A,Plesetsk, U.S.S.R,12/3/69,/nmc/spacecraftDisplay.do?id=1969-104A
KH-4B 1108,1969-105A,Vandenberg AFB, United States,12/4/69,/nmc/spacecraftDisplay.do?id=1969-105A
1969-106B,1969-106B,Plesetsk, U.S.S.R,12/11/69,/nmc/spacecraftDisplay.do?id=1969-106B
Cosmos  314,1969-106A,Plesetsk, U.S.S.R,12/11/69,/nmc/spacecraftDisplay.do?id=1969-106A
Cosmos  315,1969-107A,Plesetsk, U.S.S.R,12/20/69,/nmc/spacecraftDisplay.do?id=1969-107A
1969-108C,1969-108C,Tyuratam (Baikonur Cosmodrome), U.S.S.R,12/23/69,/nmc/spacecraftDisplay.do?id=1969-108C
Cosmos  316,1969-108A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,12/23/69,/nmc/spacecraftDisplay.do?id=1969-108A
Cosmos  317,1969-109A,Plesetsk, U.S.S.R,12/23/69,/nmc/spacecraftDisplay.do?id=1969-109A
1969-110B,1969-110B,Kapustin Yar, U.S.S.R,12/25/69,/nmc/spacecraftDisplay.do?id=1969-110B
Intercosmos  2,1969-110A,Kapustin Yar, U.S.S.R,12/25/69,/nmc/spacecraftDisplay.do?id=1969-110A
Cosmos  318,1970-001A,Plesetsk, U.S.S.R,1/9/70,/nmc/spacecraftDisplay.do?id=1970-001A
KH 8-25,1970-002A,Vandenberg AFB, United States,1/14/70,/nmc/spacecraftDisplay.do?id=1970-002A
1970-003B,1970-003B,Cape Canaveral, United States,1/15/70,/nmc/spacecraftDisplay.do?id=1970-003B
1970-004B,1970-004B,Plesetsk, U.S.S.R,1/15/70,/nmc/spacecraftDisplay.do?id=1970-004B
Cosmos  319,1970-004A,Plesetsk, U.S.S.R,1/15/70,/nmc/spacecraftDisplay.do?id=1970-004A
INTELSAT 3 F-6,1970-003A,Cape Canaveral, United States,1/15/70,/nmc/spacecraftDisplay.do?id=1970-003A
Cosmos  320,1970-005A,Kapustin Yar, U.S.S.R,1/16/70,/nmc/spacecraftDisplay.do?id=1970-005A
Cosmos  321,1970-006A,Plesetsk, U.S.S.R,1/20/70,/nmc/spacecraftDisplay.do?id=1970-006A
Cosmos  322,1970-007A,Plesetsk, U.S.S.R,1/21/70,/nmc/spacecraftDisplay.do?id=1970-007A
ITOS 1,1970-008A,Vandenberg AFB, United States,1/23/70,/nmc/spacecraftDisplay.do?id=1970-008A
OSCAR  5,1970-008B,Vandenberg AFB, United States,1/23/70,/nmc/spacecraftDisplay.do?id=1970-008B
SERT 2A,1970-009A,Vandenberg AFB, United States,2/4/70,/nmc/spacecraftDisplay.do?id=1970-009A
Cosmos  323,1970-010A,Plesetsk, U.S.S.R,2/10/70,/nmc/spacecraftDisplay.do?id=1970-010A
1970-012B,1970-012B,Vandenberg AFB, United States,2/11/70,/nmc/spacecraftDisplay.do?id=1970-012B
DMSP 5A/F1,1970-012A,Vandenberg AFB, United States,2/11/70,/nmc/spacecraftDisplay.do?id=1970-012A
Ohsumi,1970-011A,Uchinoura Space Center, Japan,2/11/70,/nmc/spacecraftDisplay.do?id=1970-011A
Molniya 1-13,1970-013A,Plesetsk, U.S.S.R,2/19/70,/nmc/spacecraftDisplay.do?id=1970-013A
Cosmos  324,1970-014A,Plesetsk, U.S.S.R,2/27/70,/nmc/spacecraftDisplay.do?id=1970-014A
Cosmos  325,1970-015A,Plesetsk, U.S.S.R,3/4/70,/nmc/spacecraftDisplay.do?id=1970-015A
KH-4B 1109,1970-016A,Vandenberg AFB, United States,3/4/70,/nmc/spacecraftDisplay.do?id=1970-016A
KH-4B 1109 Subsatellite,1970-016B,Vandenberg AFB, United States,3/4/70,/nmc/spacecraftDisplay.do?id=1970-016B
DIAL/MIKA,1970-017B,Kourou, French Guiana,3/10/70,/nmc/spacecraftDisplay.do?id=1970-017B
DIAL/WIKA,1970-017A,Kourou, French Guiana,3/10/70,/nmc/spacecraftDisplay.do?id=1970-017A
Cosmos  326,1970-018A,Plesetsk, U.S.S.R,3/13/70,/nmc/spacecraftDisplay.do?id=1970-018A
Meteor 1-3,1970-019A,Plesetsk, U.S.S.R,3/17/70,/nmc/spacecraftDisplay.do?id=1970-019A
Cosmos  327,1970-020A,Plesetsk, U.S.S.R,3/18/70,/nmc/spacecraftDisplay.do?id=1970-020A
NATO 1,1970-021A,Cape Canaveral, United States,3/20/70,/nmc/spacecraftDisplay.do?id=1970-021A
Cosmos  328,1970-022A,Plesetsk, U.S.S.R,3/27/70,/nmc/spacecraftDisplay.do?id=1970-022A
Cosmos  329,1970-023A,Plesetsk, U.S.S.R,4/3/70,/nmc/spacecraftDisplay.do?id=1970-023A
Cosmos  330,1970-024A,Plesetsk, U.S.S.R,4/7/70,/nmc/spacecraftDisplay.do?id=1970-024A
Cosmos  331,1970-026A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,4/8/70,/nmc/spacecraftDisplay.do?id=1970-026A
Nimbus 4,1970-025A,Vandenberg AFB, United States,4/8/70,/nmc/spacecraftDisplay.do?id=1970-025A
TOPO 1,1970-025B,Cape Canaveral, United States,4/8/70,/nmc/spacecraftDisplay.do?id=1970-025B
Vela  6A,1970-027A,Cape Canaveral, United States,4/8/70,/nmc/spacecraftDisplay.do?id=1970-027A
Vela  6B,1970-027B,Cape Canaveral, United States,4/8/70,/nmc/spacecraftDisplay.do?id=1970-027B
Apollo 13 Command and Service Module (CSM),1970-029A,Cape Canaveral, United States,4/11/70,/nmc/spacecraftDisplay.do?id=1970-029A
Apollo 13 Lunar Module/ALSEP,1970-029C,Cape Canaveral, United States,4/11/70,/nmc/spacecraftDisplay.do?id=1970-029C
Apollo 13 SIVB,1970-029B,Cape Canaveral, United States,4/11/70,/nmc/spacecraftDisplay.do?id=1970-029B
Cosmos  332,1970-028A,Plesetsk, U.S.S.R,4/11/70,/nmc/spacecraftDisplay.do?id=1970-028A
Cosmos  333,1970-030A,Plesetsk, U.S.S.R,4/15/70,/nmc/spacecraftDisplay.do?id=1970-030A
KH 8-26,1970-031A,Vandenberg AFB, United States,4/15/70,/nmc/spacecraftDisplay.do?id=1970-031A
Cosmos  334,1970-033A,Plesetsk, U.S.S.R,4/23/70,/nmc/spacecraftDisplay.do?id=1970-033A
INTELSAT 3 F-7,1970-032A,Cape Canaveral, United States,4/23/70,/nmc/spacecraftDisplay.do?id=1970-032A
Cosmos  335,1970-035A,Kapustin Yar, U.S.S.R,4/24/70,/nmc/spacecraftDisplay.do?id=1970-035A
PRC  1,1970-034A,Shuang Cheng-Tzu, Peoples Republic of China,4/24/70,/nmc/spacecraftDisplay.do?id=1970-034A
Cosmos  336,1970-036A,Plesetsk, U.S.S.R,4/25/70,/nmc/spacecraftDisplay.do?id=1970-036A
Cosmos  337,1970-036B,Plesetsk, U.S.S.R,4/25/70,/nmc/spacecraftDisplay.do?id=1970-036B
Cosmos  338,1970-036C,Plesetsk, U.S.S.R,4/25/70,/nmc/spacecraftDisplay.do?id=1970-036C
Cosmos  339,1970-036D,Plesetsk, U.S.S.R,4/25/70,/nmc/spacecraftDisplay.do?id=1970-036D
Cosmos  340,1970-036E,Plesetsk, U.S.S.R,4/25/70,/nmc/spacecraftDisplay.do?id=1970-036E
Cosmos  341,1970-036F,Plesetsk, U.S.S.R,4/25/70,/nmc/spacecraftDisplay.do?id=1970-036F
Cosmos  342,1970-036G,Plesetsk, U.S.S.R,4/25/70,/nmc/spacecraftDisplay.do?id=1970-036G
Cosmos  343,1970-036H,Plesetsk, U.S.S.R,4/25/70,/nmc/spacecraftDisplay.do?id=1970-036H
Meteor 1-4,1970-037A,Plesetsk, U.S.S.R,4/28/70,/nmc/spacecraftDisplay.do?id=1970-037A
Cosmos  344,1970-038A,Plesetsk, U.S.S.R,5/12/70,/nmc/spacecraftDisplay.do?id=1970-038A
Cosmos  345,1970-039A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,5/20/70,/nmc/spacecraftDisplay.do?id=1970-039A
Doppler Beacon 2,1970-040B,Vandenberg AFB, United States,5/20/70,/nmc/spacecraftDisplay.do?id=1970-040B
KH-4B 1110,1970-040A,Vandenberg AFB, United States,5/20/70,/nmc/spacecraftDisplay.do?id=1970-040A
Soyuz  9,1970-041A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,6/1/70,/nmc/spacecraftDisplay.do?id=1970-041A
Cosmos  346,1970-042A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,6/10/70,/nmc/spacecraftDisplay.do?id=1970-042A
Cosmos  347,1970-043A,Kapustin Yar, U.S.S.R,6/12/70,/nmc/spacecraftDisplay.do?id=1970-043A
Cosmos  348,1970-044A,Plesetsk, U.S.S.R,6/13/70,/nmc/spacecraftDisplay.do?id=1970-044A
Cosmos  349,1970-045A,Plesetsk, U.S.S.R,6/17/70,/nmc/spacecraftDisplay.do?id=1970-045A
Rhyolite 1,1970-046A,Cape Canaveral, United States,6/19/70,/nmc/spacecraftDisplay.do?id=1970-046A
Meteor 1-5,1970-047A,Plesetsk, U.S.S.R,6/23/70,/nmc/spacecraftDisplay.do?id=1970-047A
KH 8-27,1970-048A,Vandenberg AFB, United States,6/25/70,/nmc/spacecraftDisplay.do?id=1970-048A
Cosmos  350,1970-050A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,6/26/70,/nmc/spacecraftDisplay.do?id=1970-050A
Molniya 1-14,1970-049A,Plesetsk, U.S.S.R,6/26/70,/nmc/spacecraftDisplay.do?id=1970-049A
Cosmos  351,1970-051A,Plesetsk, U.S.S.R,6/27/70,/nmc/spacecraftDisplay.do?id=1970-051A
Cosmos  352,1970-052A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,7/7/70,/nmc/spacecraftDisplay.do?id=1970-052A
Cosmos  353,1970-053A,Plesetsk, U.S.S.R,7/9/70,/nmc/spacecraftDisplay.do?id=1970-053A
INTELSAT 3 F-8,1970-055A,Cape Canaveral, United States,7/23/70,/nmc/spacecraftDisplay.do?id=1970-055A
KH-4B 1111,1970-054A,Vandenberg AFB, United States,7/23/70,/nmc/spacecraftDisplay.do?id=1970-054A
Cosmos  354,1970-056A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,7/28/70,/nmc/spacecraftDisplay.do?id=1970-056A
Cosmos  355,1970-058A,Plesetsk, U.S.S.R,8/7/70,/nmc/spacecraftDisplay.do?id=1970-058A
Intercosmos  3,1970-057A,Kapustin Yar, U.S.S.R,8/7/70,/nmc/spacecraftDisplay.do?id=1970-057A
Cosmos  356,1970-059A,Plesetsk, U.S.S.R,8/10/70,/nmc/spacecraftDisplay.do?id=1970-059A
Venera  7,1970-060A,Tyuratam (Baikonur Cosmodrome), U.S.S.R,8/17/70,/nmc/spacecraftDisplay.do?id=1970-060A
